"priority","namespace","key","english","current_tamil","appears_on","flag","CORRECTED_TAMIL","REVIEWER_NOTES"
"1-SAFETY","auth","privacyNote","Your location is only used while actively responding to or creating reports.","உங்கள் இருப்பிடம் புகார்களுக்கு பதிலளிக்கும் போது அல்லது உருவாக்கும் போது மட்டுமே பயன்படுத்தப்படும்.","PermissionsScreen","","",""
"1-SAFETY","auth","profileSetupSubtitle","Your name is shown on reports you post, unless you choose to post anonymously.","நீங்கள் அநாமதேயமாக பதிவிட தேர்வு செய்யாவிட்டால், நீங்கள் இடும் புகார்களில் உங்கள் பெயர் காட்டப்படும்.","ProfileSetupScreen","","",""
"1-SAFETY","auth","pushNotificationsSubtitle","Alerts you when someone accepts your report.","உங்கள் புகாரை ஒருவர் ஏற்கும்போது உங்களுக்கு அறிவிக்கும்.","PermissionsScreen","","",""
"1-SAFETY","auth","slide1Description","If you see an injured animal, someone in need, excess food, or a roadside emergency, report it in less than 30 seconds.","காயமடைந்த விலங்கு, உதவி தேவைப்படும் ஒருவர், மிச்ச உணவு அல்லது சாலையோர அவசரநிலை ஏதேனும் கண்டால், 30 வினாடிகளுக்குள் புகாரளியுங்கள்.","(not found — may be built dynamically)","","",""
"1-SAFETY","auth","slide1Title","See Something That Needs Help?","உதவி தேவைப்படும் ஒன்றைப் பார்த்தீர்களா?","(not found — may be built dynamically)","","",""
"1-SAFETY","auth","slide2Description","Your report is shared only with nearby people who are willing to help, making responses fast and relevant.","உங்கள் புகார் உதவ விரும்பும் அருகிலுள்ளவர்களுடன் மட்டுமே பகிரப்படும், இது பதில்களை வேகமாகவும் பொருத்தமாகவும் ஆக்குகிறது.","(not found — may be built dynamically)","","",""
"1-SAFETY","auth","slide2Title","Nearby Volunteers Respond","அருகிலுள்ள தொண்டர்கள் பதிலளிப்பார்கள்","(not found — may be built dynamically)","","",""
"1-SAFETY","auth","splashTagline","Helping begins with one person.","உதவுவது ஒரு நபரிலிருந்து தொடங்குகிறது.","SplashScreen","","",""
"1-SAFETY","auth","terms","By continuing, you agree to our Terms and Privacy Policy.","தொடர்வதன் மூலம், எங்கள் விதிமுறைகள் மற்றும் தனியுரிமைக் கொள்கையை ஏற்கிறீர்கள்.","LoginScreen","","",""
"1-SAFETY","common","cancel","Cancel","ரத்து செய்","CommunityComments, EditProfileScreen, ProfileSetupScreen, RequestDetailsScreen, RosterSection, VolunteerJourneyScreen","","",""
"1-SAFETY","common","expiredLabel","Expired","காலாவதியானது","urgency","","",""
"1-SAFETY","deleteAccount","confirmLabel","Type {{phrase}} to confirm","உறுதிப்படுத்த {{phrase}} என்று தட்டச்சு செய்யவும்","DeleteAccountScreen","","",""
"1-SAFETY","deleteAccount","deleteButton","Permanently Delete My Account","எனது கணக்கை நிரந்தரமாக நீக்கு","DeleteAccountScreen","","",""
"1-SAFETY","deleteAccount","deleteFailed","Could not delete your account. Try again.","உங்கள் கணக்கை நீக்க முடியவில்லை. மீண்டும் முயற்சிக்கவும்.","DeleteAccountScreen","","",""
"1-SAFETY","deleteAccount","loseMissions","Your mission history as a volunteer","தன்னார்வலராக உங்கள் பணி வரலாறு","DeleteAccountScreen","","",""
"1-SAFETY","deleteAccount","loseReports","All reports you've posted","நீங்கள் வெளியிட்ட அனைத்துக் கோரிக்கைகளும்","DeleteAccountScreen","","",""
"1-SAFETY","deleteAccount","title","Delete Account","கணக்கை நீக்கு","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","flaggedComments","emptySubtitle","Comments you flag for review will show up here.","நீங்கள் மறுஆய்வுக்குக் கொடியிடும் கருத்துகள் இங்கே தோன்றும்.","FlaggedCommentsScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","flaggedComments","emptyTitle","Nothing flagged yet","இதுவரை எதுவும் கொடியிடப்படவில்லை","FlaggedCommentsScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","flaggedComments","rowLabel","{{title}}, flagged for {{reason}}","{{title}}, {{reason}} காரணமாகக் கொடியிடப்பட்டது","FlaggedCommentsScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","flaggedComments","title","Flagged Comments","கொடியிடப்பட்ட கருத்துகள்","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","impactStories","emptySubtitle","Completed requests you posted or helped with will appear here.","நீங்கள் வெளியிட்ட அல்லது உதவிய நிறைவு செய்யப்பட்ட கோரிக்கைகள் இங்கே தோன்றும்.","FlaggedCommentsScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","invite","heroSubtitle","The more neighbours on Uthavu, the faster help arrives.","உதவுவில் அதிக அண்டை வீட்டார் இருந்தால், உதவி வேகமாக வந்து சேரும்.","InviteFriendsScreen","","",""
"1-SAFETY","invite","shareFailed","Could not open the share sheet. Try again.","பகிர்வு தாளைத் திறக்க முடியவில்லை. மீண்டும் முயற்சிக்கவும்.","InviteFriendsScreen","","",""
"1-SAFETY","invite","shareInvite","Share Invite","அழைப்பைப் பகிர்","InviteFriendsScreen","","",""
"1-SAFETY","invite","shareMessage","Join me on உதவு (Uthavu) — a community app that helps people find and respond to nearby help requests. Join Uthavu: {{link}}","உதவு (Uthavu) இல் என்னுடன் இணையுங்கள் — அருகிலுள்ள உதவியைக் கண்டறியவும் பதிலளிக்கவும் உதவும் சமூக செயலி.","ImpactStorySection, InviteFriendsScreen","","",""
"1-SAFETY","invite","shareTitle","Invite Friends to Uthavu","உதவுவிற்கு நண்பர்களை அழை","InviteFriendsScreen","","",""
"1-SAFETY","invite","step1","Share your link","உங்கள் இணைப்பைப் பகிரவும்","InviteFriendsScreen","","",""
"1-SAFETY","invite","step3","More helpers nearby","அருகில் அதிக உதவியாளர்கள்","InviteFriendsScreen","","",""
"1-SAFETY","legal","privacyTitle","Privacy Policy","தனியுரிமைக் கொள்கை","(not found — may be built dynamically)","","",""
"1-SAFETY","missionJournal","emptyAllSubtitle","Missions you volunteer for will show up here.","நீங்கள் தன்னார்வத் தொண்டு செய்யும் பணிகள் இங்கே தோன்றும்.","MissionJournalScreen","","",""
"1-SAFETY","missionJournal","emptyAllTitle","No missions yet","இதுவரை பணிகள் இல்லை","MissionJournalScreen","","",""
"1-SAFETY","missionJournal","emptyCancelledSubtitle","Missions that ended without being completed will appear here.","நிறைவு பெறாமல் முடிந்த பணிகள் இங்கே தோன்றும்.","MissionJournalScreen","","",""
"1-SAFETY","missionJournal","emptyCancelledTitle","No cancelled missions","ரத்து செய்யப்பட்ட பணிகள் இல்லை","MissionJournalScreen","","",""
"1-SAFETY","missionJournal","emptyCompletedSubtitle","Missions you help finish will appear here.","நீங்கள் நிறைவு செய்ய உதவும் பணிகள் இங்கே தோன்றும்.","MissionJournalScreen","","",""
"1-SAFETY","missionJournal","emptyCompletedTitle","No completed missions yet","நிறைவு செய்த பணிகள் இல்லை","MissionJournalScreen","","",""
"1-SAFETY","missionJournal","emptyLeftSubtitle","Missions you stepped away from will appear here.","நீங்கள் விலகிய பணிகள் இங்கே தோன்றும்.","MissionJournalScreen","","",""
"1-SAFETY","missionJournal","emptyLeftTitle","No missions left","விலகிய பணிகள் இல்லை","MissionJournalScreen","","",""
"1-SAFETY","missionJournal","postedAnonymously","Posted anonymously","அநாமதேயமாக வெளியிடப்பட்டது","(not found — may be built dynamically)","","",""
"1-SAFETY","missionJournal","statusActive","Helping","உதவுகிறார்","RosterSection","","",""
"1-SAFETY","missionJournal","statusCancelled","Cancelled","ரத்து செய்யப்பட்டது","(not found — may be built dynamically)","","",""
"1-SAFETY","missionJournal","tabCancelled","Cancelled","ரத்து","MissionJournalScreen","","",""
"1-SAFETY","missionJournal","title","Mission Journal","பணி நாட்குறிப்பு","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","report","categoryScreen.subtitle","What kind of help is needed?","என்ன வகையான உதவி தேவை?","(not found — may be built dynamically)","","",""
"1-SAFETY","report","categoryScreen.title","Report a Request","உதவி கோரிக்கை பதிவு செய்","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","report","details.descriptionPlaceholder","What's happening, and what kind of help is needed?","என்ன நடக்கிறது, என்ன வகையான உதவி தேவை?","SubmitTicketScreen","","",""
"1-SAFETY","report","details.needsTeamLabel","This needs more than one volunteer","இதற்கு ஒன்றுக்கு மேற்பட்ட தன்னார்வலர்கள் தேவை","(not found — may be built dynamically)","","",""
"1-SAFETY","report","details.volunteersNeededLabel","Volunteers needed","தேவையான தன்னார்வலர்கள்","(not found — may be built dynamically)","","",""
"1-SAFETY","report","detailsStep.descriptionPlaceholder","Describe what help is needed…","என்ன உதவி தேவை என்பதை விவரிக்கவும்…","SubmitTicketScreen","","",""
"1-SAFETY","report","detailsStep.descriptionShort","{{count}} more characters needed — give volunteers enough to act on.","இன்னும் {{count}} எழுத்துகள் தேவை — தன்னார்வலர்கள் செயல்பட போதுமான விவரம் கொடுங்கள்.","ReportDetailsPage","","",""
"1-SAFETY","report","detailsStep.volunteersNeededLabel","Volunteers Needed","தேவையான தன்னார்வலர்கள்","ReportDetailsPage","","",""
"1-SAFETY","report","edit.lockedMessage","Editing is unavailable because volunteers have already joined this request.","இந்தக் கோரிக்கையில் ஏற்கனவே தன்னார்வலர்கள் இணைந்துவிட்டதால் திருத்த முடியாது.","EditReportScreen","","",""
"1-SAFETY","report","edit.title","Edit Report","கோரிக்கையைத் திருத்து","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","report","edit.titleLabel","Report Title","கோரிக்கை தலைப்பு","EditReportScreen","","",""
"1-SAFETY","report","edit.updatedMessage","✅ Report updated successfully.","✅ கோரிக்கை வெற்றிகரமாகப் புதுப்பிக்கப்பட்டது.","EditReportScreen","","",""
"1-SAFETY","report","edit.updatedTitle","Report Updated","கோரிக்கை புதுப்பிக்கப்பட்டது","EditReportScreen","","",""
"1-SAFETY","report","edit.updateFailedMessage","Could not update report. Try again.","கோரிக்கையைப் புதுப்பிக்க முடியவில்லை. மீண்டும் முயற்சிக்கவும்.","EditReportScreen","","",""
"1-SAFETY","report","edit.volunteersLabel","Needed Volunteers","தேவையான தன்னார்வலர்கள்","EditReportScreen","","",""
"1-SAFETY","report","flow.cameraNeededMessage","Uthavu needs camera access to attach a live photo to your report.","உங்கள் கோரிக்கையில் நேரடி புகைப்படத்தை இணைக்க உதவுவிற்கு கேமரா அணுகல் தேவை.","ReportFlowScreen","","",""
"1-SAFETY","report","flow.nextLocationPrivacy","Next: Location & Privacy →","அடுத்து: இருப்பிடம் & தனியுரிமை →","ReportFlowScreen","","",""
"1-SAFETY","report","flow.publish","Publish Report","கோரிக்கையை வெளியிடு","ReportFlowScreen","","",""
"1-SAFETY","report","flow.publishedMessage","Nearby volunteers can now see your request.","அருகிலுள்ள தன்னார்வலர்கள் இப்போது உங்கள் கோரிக்கையைப் பார்க்க முடியும்.","(not found — may be built dynamically)","","",""
"1-SAFETY","report","flow.publishedTitle","Report published","கோரிக்கை வெளியிடப்பட்டது","(not found — may be built dynamically)","","",""
"1-SAFETY","report","flow.publishError","Could not publish your report. Try again.","உங்கள் கோரிக்கையை வெளியிட முடியவில்லை. மீண்டும் முயற்சிக்கவும்.","ReportFlowScreen","","",""
"1-SAFETY","report","flow.stepPrivacy","Privacy","தனியுரிமை","(not found — may be built dynamically)","","",""
"1-SAFETY","report","flowExtra.postedMessage","Your request is now live for nearby volunteers and community members.","உங்கள் கோரிக்கை அருகிலுள்ள தன்னார்வலர்களுக்கும் சமூக உறுப்பினர்களுக்கும் இப்போது தெரியும்.","ReportFlowScreen","","",""
"1-SAFETY","report","location.subtitle","Nearby volunteers use this to find the situation.","அருகிலுள்ள தன்னார்வலர்கள் இதைப் பயன்படுத்தி நிலைமையைக் கண்டறிவார்கள்.","(not found — may be built dynamically)","","",""
"1-SAFETY","report","location.title","Confirm your location","உங்கள் இருப்பிடத்தை உறுதிப்படுத்தவும்","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","report","locationStep.anonymousLabel","Post Anonymously","அநாமதேயமாக பதிவிடு","ReportLocationPage","","",""
"1-SAFETY","report","locationStep.confirmLabel","I confirm that this information is accurate.","இந்தத் தகவல் துல்லியமானது என்பதை நான் உறுதிப்படுத்துகிறேன்.","DeleteAccountScreen","","",""
"1-SAFETY","report","locationStep.expiryLabel","Expected help window","எதிர்பார்க்கப்படும் உதவி காலம்","ReportLocationPage","","",""
"1-SAFETY","report","locationStep.ngoLabel","Share with local NGOs","உள்ளூர் தன்னார்வ அமைப்புகளுடன் பகிரவும்","(not found — may be built dynamically)","","",""
"1-SAFETY","report","locationStep.pageSubtitle","Set location, expiry duration and contact privacy.","இருப்பிடம், காலாவதி கால அளவு மற்றும் தொடர்பு தனியுரிமையை அமைக்கவும்.","ReportLocationPage","","",""
"1-SAFETY","report","locationStep.phoneVisibleLabel","Share phone number with volunteers","தன்னார்வலர்களுடன் தொலைபேசி எண்ணைப் பகிரவும்","ReportLocationPage","","",""
"1-SAFETY","report","locationStep.phoneVisibleOff","Phone hidden — volunteers contact via in-app chat only.","தொலைபேசி மறைக்கப்பட்டுள்ளது — தன்னார்வலர்கள் ஆப்-இல் அரட்டை மூலம் மட்டுமே தொடர்பு கொள்வார்கள்.","ReportLocationPage","","",""
"1-SAFETY","report","locationStep.phoneVisibleOn","Phone number visible to volunteers","தொலைபேசி எண் தன்னார்வலர்களுக்குத் தெரியும்","ReportLocationPage","","",""
"1-SAFETY","report","locationStep.privacyTitle","Privacy & Notifications","தனியுரிமை & அறிவிப்புகள்","ReportLocationPage","","",""
"1-SAFETY","report","photo.subtitle","A live photo is required — it's what makes your report trustworthy to nearby volunteers.","நேரடி புகைப்படம் அவசியம் — இதுவே உங்கள் கோரிக்கையை அருகிலுள்ள தன்னார்வலர்களுக்கு நம்பகமானதாக்குகிறது.","(not found — may be built dynamically)","","",""
"1-SAFETY","report","privacy.anonymousLabel","Post anonymously","அநாமதேயமாக பதிவிடு","(not found — may be built dynamically)","","",""
"1-SAFETY","report","privacy.anonymousSubtitle","Hides your name, photo, and profession on the public report card","பொது கோரிக்கை அட்டையில் உங்கள் பெயர், புகைப்படம் மற்றும் தொழிலை மறைக்கிறது","(not found — may be built dynamically)","","",""
"1-SAFETY","report","privacy.phoneVisibleLabel","Share phone number with volunteers","தன்னார்வலர்களுடன் தொலைபேசி எண்ணைப் பகிரவும்","(not found — may be built dynamically)","","",""
"1-SAFETY","report","privacy.phoneVisibleSubtitle","Only visible to someone who accepts your request","உங்கள் கோரிக்கையை ஏற்றுக்கொள்பவருக்கு மட்டுமே தெரியும்","(not found — may be built dynamically)","","",""
"1-SAFETY","report","privacy.subtitle","Control what's exposed about you on this report.","இந்த கோரிக்கையில் உங்களைப் பற்றி என்ன வெளிப்படுத்தப்படுகிறது என்பதைக் கட்டுப்படுத்துங்கள்.","(not found — may be built dynamically)","","",""
"1-SAFETY","report","privacy.title","Privacy","தனியுரிமை","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","report","review.expiresIn","Expires in {{time}}","{{time}} இல் காலாவதியாகும்","(not found — may be built dynamically)","","",""
"1-SAFETY","report","review.phonePrivate","Phone number stays private","தொலைபேசி எண் தனிப்பட்டதாகவே இருக்கும்","(not found — may be built dynamically)","","",""
"1-SAFETY","report","review.phoneShared","Phone shared with the volunteer who accepts","ஏற்றுக்கொள்ளும் தன்னார்வலருடன் தொலைபேசி எண் பகிரப்படும்","(not found — may be built dynamically)","","",""
"1-SAFETY","report","review.postingAnonymously","Posting anonymously","அநாமதேயமாக பதிவிடுகிறது","(not found — may be built dynamically)","","",""
"1-SAFETY","report","review.subtitle","This is exactly what nearby volunteers will see.","அருகிலுள்ள தன்னார்வலர்கள் பார்க்கப்போவது இதுதான்.","(not found — may be built dynamically)","","",""
"1-SAFETY","requestDetails","activeHelping","🟢 You're helping with this mission.","🟢 நீங்கள் இந்த பணியில் உதவி வருகிறீர்கள்.","RosterSection","","",""
"1-SAFETY","requestDetails","cameraPermissionError","Camera access is needed to submit a completion photo.","நிறைவு புகைப்படத்தை சமர்ப்பிக்க கேமரா அணுகல் தேவை.","CompleteMissionSheet","","",""
"1-SAFETY","requestDetails","chatLockedMessage","🔒 Mission Chat is available after you accept this request.","🔒 இந்த கோரிக்கையை ஏற்றுக்கொண்ட பிறகு மிஷன் சாட் கிடைக்கும்.","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","chatLockedNote","This mission is complete — chat is read-only.","இந்த பணி முடிந்துவிட்டது — சாட் படிக்க மட்டுமே.","MissionChat","","",""
"1-SAFETY","requestDetails","commentPlaceholder","Share something helpful…","பயனுள்ள ஒன்றைப் பகிரவும்…","CommunityComments","","",""
"1-SAFETY","requestDetails","completeMission","Complete Mission","பணியை முடி","RosterSection, VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","completeMissionTitle","Complete Mission","பணியை முடி","CompleteMissionSheet","","",""
"1-SAFETY","requestDetails","completionReportTitle","Completion Report","நிறைவு அறிக்கை","VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","confirmWithin","⏱ Confirm within {{time}}","⏱ {{time}} உள்ளாக உறுதிப்படுத்தவும்","RosterSection","","",""
"1-SAFETY","requestDetails","confirmWithinFallback","15m","15 நிமி","RosterSection","","",""
"1-SAFETY","requestDetails","deletedUserLabel","Deleted User","நீக்கப்பட்ட பயனர்","CommunityComments, MissionChat, RequestDetailsScreen, RosterSection, VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","emptyComments","No comments yet — be the first to share something useful.","இதுவரை கருத்துகள் இல்லை — முதலில் ஏதாவது பயனுள்ளதைப் பகிரவும்.","CommunityComments","","",""
"1-SAFETY","requestDetails","flagAccessibilityLabel","Flag comment from {{name}}","{{name}} இன் கருத்தைப் புகாரளி","CommunityComments","","",""
"1-SAFETY","requestDetails","flagAction","Report","புகார் செய்","CommunityComments","","",""
"1-SAFETY","requestDetails","flagFailedTitle","Could not flag this","புகாரளிக்க முடியவில்லை","CommunityComments","","",""
"1-SAFETY","requestDetails","flagPromptMessage","What is the issue?","பிரச்சனை என்ன?","CommunityComments","","",""
"1-SAFETY","requestDetails","flagPromptTitle","Flag this comment","இந்த கருத்தை புகாரளிக்கவா?","CommunityComments","","",""
"1-SAFETY","requestDetails","flagReasonAbuse","Abuse","தவறான நடத்தை","CommunityComments","","",""
"1-SAFETY","requestDetails","flagReasonDuplicate","Duplicate","நகல்","CommunityComments","","",""
"1-SAFETY","requestDetails","flagReasonFalseInformation","False information","தவறான தகவல்","CommunityComments","","",""
"1-SAFETY","requestDetails","flagReasonOther","Other","மற்றவை","CommunityComments","","",""
"1-SAFETY","requestDetails","flagReasonSpam","Spam","ஸ்பேம்","CommunityComments","","",""
"1-SAFETY","requestDetails","flagThanksMessage","We'll review this.","நாங்கள் இதை பரிசீலிப்போம்.","CommunityComments","","",""
"1-SAFETY","requestDetails","flagThanksTitle","Thanks","நன்றி","CommunityComments","","",""
"1-SAFETY","requestDetails","helpedInDuration","Helped in {{duration}}","{{duration}}இல் உதவப்பட்டது","ImpactStorySection","","",""
"1-SAFETY","requestDetails","illHelp","I'll Help","நான் உதவுகிறேன்","RosterSection","","",""
"1-SAFETY","requestDetails","journeyActiveBannerSubtitle","Keep the reporter updated via Mission Chat.","மிஷன் சாட் மூலம் புகாரளித்தவரைத் தொடர்ந்து புதுப்பிக்கவும்.","(not found — may be built dynamically)","","",""
"1-SAFETY","requestDetails","journeyActiveBannerTitle","You're Helping","நீங்கள் உதவுகிறீர்கள்","(not found — may be built dynamically)","","",""
"1-SAFETY","requestDetails","journeyCallReporter","Call reporter","தெரிவித்தவரை அழைக்கவும்","VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","journeyCompletedTitle","Mission Completed","பணி நிறைவடைந்தது","VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","journeyHelpingSubtitle","Mission Active — coordinate with your team below.","பணி செயலில் உள்ளது — கீழே உங்கள் குழுவுடன் ஒருங்கிணைக்கவும்.","VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","journeyHelpingTitle","🟢 You Are Helping","🟢 நீங்கள் உதவுகிறீர்கள்","VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","journeyJoinedBannerSubtitle","Post remains open for backup volunteers.","கூடுதல் தன்னார்வலர்களுக்காக இடுகை திறந்தே இருக்கும்.","(not found — may be built dynamically)","","",""
"1-SAFETY","requestDetails","journeyJoinedBannerTitle","Volunteer Joined","தன்னார்வலர் இணைந்தார்","VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","journeyJoinedSubtitle","You joined this request. Confirm within 15 minutes.","இந்தக் கோரிக்கையில் இணைந்துள்ளீர்கள். 15 நிமிடங்களுக்குள் உறுதிப்படுத்தவும்.","VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","journeyMissionTeam","Mission Team ({{ready}}/{{needed}} Ready)","பணிக் குழு ({{ready}}/{{needed}} தயார்)","(not found — may be built dynamically)","","",""
"1-SAFETY","requestDetails","journeyProgressHelping","Helping Now","இப்போது உதவுகிறேன்","VolunteerJourneyScreen","","",""
